Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Measurement of User Satisfaction of ELSIMIL Application in Stunting Prevention in Indonesia using EUCS Method","User satisfaction with the ELSIMIL application for stunting prevention in Indonesia is significantly influenced by content quality, but all factors affect satisfaction.","M. Zacky, Eki Saputra",2025,1,"Stunting is a long-term nutritional problem diagnosed in children under two years old and characterized by shorter height difference compared to children of the same age. A public health concern, stunting increases a child's risk of illness and death and stunts their ability to thrive intellectually and physically. The government has given primary responsibility for preventing stunting to the National Population and Family Planning Agency (BKKBN). One of BKKBN's efforts is to develop the ELSIMIL application, which is a media application for screening, mentoring and preventing stunting. However, during the implementation of the use of the ELSIMIL application, there are many problems faced by the family assistance team and prospective brides, one of which is the lack of knowledge of prospective brides in running the ELSIMIL application, for example: during the registration of bride and groom data, there are still many errors in inputting data so that the results issued in the form of an ELSIMIL certificate do not match the condition of the prospective bride and groom. This study uses the End-User Computing Satisfaction (EUCS) method to assess user satisfaction in running the ELSIMIL application. This study shows that the content variable has a significant influence on user satisfaction compared to other variables such as accuracy, format, ease of use, and timeliness. The more relevant and quality information is presented, the more satisfied users will be. However, simultaneously all variables affect user satisfaction. The implications of these findings can provide valuable guidance for digital platform developers and related parties in designing more targeted and effective interventions, as well as facilitating desired behavioral changes in society.","cross-sectional study","SISTEMASI","","10.32520/stmsi.v14i1.4627","https://consensus.app/papers/measurement-of-user-satisfaction-of-elsimil-application-zacky-saputra/dd1fa47756925598abedfb56e9a51773/"
"Desain UI/UX Aplikasi SEWA Menggunakan Metode Design Thinking","The Design Thinking method effectively creates an easy-to-use UI/UX for an early toddler stunting detection application, providing solutions to existing problems.","Nani Purwati, Akhmad Syukron, Kuffi Attabi', Sawwara Sawwara",2023,3,"Stunting in toddlers is a child problem that is still a concern for the government. The government has implemented various policies in an effort to reduce cases of stunting under five in Indonesia. In line with increasingly advanced and rapid technological developments, this study aims to design the UI/UX of an early stunting detection application for toddlers to help posyandu cadres measure and detect early cases of stunting and malnutrition in toddlers. The research method used in UI/UX development is the Design Thinking method. While the application testing method uses the SEQ method. The results of usability testing use the SEQ method with a total of 6 respondents consisting of officers and parents, obtaining a SEQ value of 6.26. The test results above 5.5 mean that this application is easy to use and can provide solutions to existing problems. The Design thinking method is proven to be able to produce a good interface according to user needs.Keywords: UI/UX; User Interface; User Experience; Design Thinking; SEQ.","other","EVOLUSI : Jurnal Sains dan Manajemen","","10.31294/evolusi.v11i2.17154","https://consensus.app/papers/desain-uiux-aplikasi-sewa-menggunakan-metode-design-purwati-syukron/9cf649542357506e9783dd5a10cc4ac3/"
"Development and Evaluation of a Gamified Mobile Application with Two-Dimensional Animation for MPASI Education to Support Stunting Prevention","The gamified mobile application with 2D animation effectively improves mothers' knowledge and adherence to appropriate MPASI practices, supporting stunting prevention.","Diny Anggriani Adnas, Sri Arnilasari, Milasari Milasari",2026,0,"Inappropriate Makanan Pendamping Air Susu Ibu (MPASI) practices (complementary feeding) remain one of the major contributors to child malnutrition and stunting during the first 1,000 days of life. This study aimed to develop and evaluate a gamified mobile application incorporating two-dimensional (2D) animation as a nutrition education medium to improve mothers' knowledge and adherence to appropriate MPASI practices. A Research and Development (RD) approach using the ADDIE model was employed. The application was developed using the Flutter framework and integrates educational modules, 2D animations, interactive quizzes, local food-based MPASI recipes, daily checklists, and gamification features. Its effectiveness was evaluated using a One-Group Pretest–Posttest design involving 30 mothers. Data were analyzed using descriptive statistics, the Shapiro–Wilk test, the Wilcoxon Signed-Rank Test, effect size analysis, and the USE Questionnaire. The results showed that the mean knowledge score increased from 8.93 to 9.97, while the adherence score improved from 27.53 to 30.53 after using the application. Significant improvements were observed for both variables (p = 0.001), with large effect sizes (r = 0.61 and r = 0.62). The application also achieved an excellent usability score (3.70) and high reliability (Cronbach's Alpha = 0.961). These findings indicate that the proposed application effectively improves mothers' knowledge and adherence regarding MPASI while providing an excellent user experience, demonstrating its potential as a digital nutrition education tool to support stunting prevention.","field study","Electronic Journal of Education, Social Economics and Technology","","10.33122/ejeset.v7i1.1458","https://consensus.app/papers/development-and-evaluation-of-a-gamified-mobile-adnas-arnilasari/739408e96806546ea46e7dc36a5ff19b/"
"Perancangan Aplikasi Resep Makanan Pencegah Stunting Menggunakan Metode Design Sprint","This study designed a food recipe application using the design sprint method to prevent stunting in Indonesia by providing nutritious food options and enhancing access to nutritional information for parents and pregnant women.","Khollydayyana mitra Francisca, W. Kusuma, A. Khudori",2025,0,"Stunting is a health problem that is still a serious concern in Indonesia because of its impact on child growth. One of the main factors causing it is the lack of nutritional education for mothers and parents. To help overcome this, this study designed a food recipe application to prevent stunting using the design sprint method combined with persona, crazy 8's, and MVP (Minimum Viable Product). This combination of methods was chosen because it allows the application design process to be carried out quickly, and based on user needs. The design of this application aims to provide information about healthy food menus that are in accordance with children's nutritional needs, especially in preventing stunting. The design of the application user interface (prototype) was developed based on mobile using figma as a design tool. The application design was evaluated using the SUS method with a result of 77 which means that this application has a good level of usability with the Adjective Rating ""GOOD"" included in the grade C category. The results of this study indicate that this application has the potential to help parents, pregnant women in choosing and serving healthier and more nutritious food for children. With this application, it is hoped that the stunting rate in Indonesia can be reduced through easier and more practical access to nutritional information.","other","Jikom: Jurnal Informatika dan Komputer","","10.55794/jikom.v15i2.290","https://consensus.app/papers/perancangan-aplikasi-resep-makanan-pencegah-stunting-francisca-kusuma/03131887f95655f096b7d0d294f9272b/"
"Beyond the interface: benchmarking pediatric mobile health applications for monitoring child growth using the Mobile App Rating Scale","Higher-quality pediatric mobile health apps are needed in Indonesia, particularly in improving user engagement, feedback mechanisms, and accessibility.","A. Irawan, Arie Dwi Alristina, R. D. Laili, Nuke Amalia, Arief Purnama Muharram, A. Miranda, Edmond Girasek",2025,8,"Introduction: As mHealth applications become increasingly adopted in Indonesia, it is crucial to assess their quality and usability for parents and healthcare professionals.

Aim: This study evaluated the quality of pediatric-related mobile health (mHealth) applications available in Indonesia, focusing on their ability to support child growth monitoring and provide educational resources for parents and caregivers.

Methodology: This is a cross-sectional study. From December 1, 2024, and January 31, 2025 we conducted systematic search for pediatric mHealth applications in Indonesian Google Play Store and Apple App Store using predetermined keywords. Inclusion criteria required the applications to be available in Bahasa Indonesia, focus on child health, and include growth tracking or stunting prevention features. We excluded applications that were not functioning during the testing period. Quality assessment was conducted by five healthcare professionals using the Mobile App Rating Scale (MARS). MARS assessed applications from multiple domains, including engagement, functionality, aesthetics, and information quality. Inter-rater reliability was ensured using the Intraclass Correlation Coefficient (ICC). The results were analyzed using descriptive statistics, Pearson's correlation, and T-tests. A p-value of <0.05 is considered to be statistically significant.

Findings: Nine applications were included in this study. Seven of the applications (77.78%) focused on tracking child growth and development and providing educational content. Less than half of the apps had built-in community features that enabled social support (n = 4, 44.44%) and features for feedback mechanisms & personalized guidance (n = 3, 33.33%) respectively. The majority were developed by commercial companies (n = 7, 77.78%). Quality assessment found significant variability across the apps, with high functionality and aesthetics scores but more variability in the domains of app engagement, quality of information, and subjective quality or perceived value.

Conclusion: This research underscored the need for the development of higher-quality, evidence-based mHealth apps for pediatric care in Indonesia, particularly in improving user engagement, feedback mechanisms and accessibility.

© 2025 Irawan, Alristina, Laili, Amalia, Muharram, Miranda, Döbrössy and Girasek.","cross-sectional study","Frontiers in Digital Health","1","10.3389/fdgth.2025.1621293","https://consensus.app/papers/beyond-the-interface-benchmarking-pediatric-mobile-irawan-alristina/d5ec16a0fd3d56afa86cad6138815545/"
"Empowering cadres: the impact of KEPITING, a web-based application on stunting knowledge and attitudes","KEPITING improves cadre knowledge and attitudes towards stunting detection, but requires usability enhancements for optimal impact.","Novan Kurniawan, Sigit Mulyono, Poppy Fitriyani, Eka Putri Yulianti",2025,4,"Introduction: Stunting, an indicator of chronic malnutrition, affects children under five. Cadres hold strategic positions to enhance this. Despite the launch of digital applications designed to address stunting by enhancing knowledge and attitudes, their lasting impacts and usability have not been thoroughly evaluated, especially among cadres.
Methods: We conducted a longitudinal study to evaluate the long-term impact and usability of our web-based app KEPITING (Kader Peduli Stunting) to enhance knowledge and attitudes towards stunting detection among cadres covering two Districts in Jambi. We obtained 152 cadres as participants using purposive sampling, separated into two groups based on their respective districts—one using KEPITING and the other traditional training materials. Data were collected at pre-intervention, post-intervention, and nine months post- intervention using validated questionnaires to assess knowledge and attitude changes. A generalized Linear Model with Repeated Measures ANOVA and Mann-Whitney U tests was employed to examine the effects and interactions.
Results: KEPITING significantly improved knowledge of practical procedures (p <0.001) and nutritional interventions (p <0.001). Overall attitude improved significantly (p = 0.008, η = 0.033). Knowledge retention showed no significant time effect, whereas attitudes improved over time and were better retained in the intervention group. The System Usability Scale scored below an average of 58.7, indicating that usability improvements were needed.
Conclusions: KEPITING enhances cadre knowledge and attitudes but requires usability enhancements for optimal impact. This study highlights the importance of digital tools in stunting interventions and suggests areas for future research focusing on usability and long-term efficacy.","field study","Jurnal Ners","4","10.20473/jn.v20i1.65890","https://consensus.app/papers/empowering-cadres-the-impact-of-kepiting-a-webbased-kurniawan-mulyono/59062709bfbd5c8d977169163a2219da/"
"Development and Validation of a Mobile Application for Early Childhood Nutrition Monitoring: A Multisensor-Based Non-Contact Anthropometric System","The MB-NCAS app is a valid, reliable, and practical tool for monitoring early childhood nutrition and detecting stunting, but limited technology access may hinder its broader application.","Evania Yafie, Pramono, I. W. Sutama, Ahmad Samawi, K. Khairuddin, Rahayu Asyhari",2024,6,"The issue of early childhood nutrition in Indonesia, including the high prevalence of stunting, is of critical importance as it can permanently impair children's physical growth and cognitive development. Parents frequently encounter challenges in accurately and consistently monitoring their children's nutritional status, which impedes the early detection of nutritional issues. This study introduces the Multisensor-Based Non-Contact Anthropometric System (MB-NCAS), a mobile application developed to monitor nutritional status and detect stunting in early childhood. The research encompassed five phases using a modified ADDIE model: Analysis, Design, Development, Implementation, and Evaluation. In the Analysis phase, parent questionnaires identified critical nutritional needs and challenges related to stunting. The Design phase focused on setting clear objectives and developing educational content for the app. The Development phase saw the app's creation, which experts in content accuracy, media design, and instructional strategies subsequently validated. During the Implementation phase, the app was tested with parents in Malang City, who participated in pretest and posttest evaluations to assess the app's practicality and effectiveness.  The results indicated significant improvements in parental knowledge and skills in monitoring child nutrition and stunting, with expert validation scores averaging 92.6% for media design, 86.25% for material content, and 87.28% for instructional design. The MB-NCAS app is a valid, reliable, and practical tool for early childhood nutrition monitoring. However, challenges such as limited technology access in certain areas may hinder its broader application. Future research should explore the app's effectiveness in diverse settings and focus on improving technology accessibility to enhance its impact on public health.","field study","Golden Age: Jurnal Ilmiah Tumbuh Kembang Anak Usia Dini","","10.14421/jga.2024.93-05","https://consensus.app/papers/development-and-validation-of-a-mobile-application-for-yafie-pramono/f5bfb20d540d52e7bfa2b2544eba1087/"
"Innovation of the EDDIS-balita mobile application: An educational and early detection solution for stunting in toddlers to enhance early prevention","The EDDIS-Balita mobile application effectively enhances community understanding of stunting prevention and facilitates rapid early detection, potentially supporting accelerated stunting reduction through timely education and intervention.","S. Mulyanti, Heri Djamiatul Maulana, N. Sari, A. Setiawan",2026,0,"Background: Stunting is a chronic nutritional problem caused by inadequate nutrient intake and recurrent infections, particularly during the First 1,000 Days of Life (HPK). Low parental knowledge regarding balanced nutrition, sanitation, and child growth monitoring contributes to the high incidence of stunting. The use of technology, especially Android-based mobile applications widely utilized by the Indonesian population, offers a significant opportunity as an effective medium for education and early detection of stunting. 
Objective: To design an Android application, “EDDIS-Balita” (Early Detection and Education of Stunting in Toddlers), capable of providing accurate, practical, and easily accessible education and early detection of stunting for the wider community. 
Methods: This study employed the Research and Development (R&D) method with a qualitative approach. System development was conducted using the FAST (Framework for Application of Systems Technology) method, including problem identification, needs analysis, system design, and application construction using MIT App Inventor. The application features include stunting educational materials, stunting screening, stunting status calculation, and a hotline menu. Application testing was carried out using black box testing to assess the accuracy of input and output results. 
Results: The EDDIS-Balita application was proven to function optimally, with a 100% success rate in all tested features. All educational, screening, and calculation menus operated smoothly and were easy to use by mothers of toddlers, posyandu cadres, and healthcare workers as learning media and early detection tools. 
Conclusion: EDDIS-Balita is an effective innovation for enhancing community understanding of stunting prevention while facilitating independent and rapid early detection. This application has strong potential to support accelerated stunting reduction through more timely education and intervention. The study recommends further training and socialization for cadres, healthcare workers, and the community to ensure optimal utilization of the application.","other","JNKI (Jurnal Ners dan Kebidanan Indonesia) (Indonesian Journal of Nursing and Midwifery)","","10.21927/jnki.2026.14(1).44-56","https://consensus.app/papers/innovation-of-the-eddisbalita-mobile-application-an-mulyanti-maulana/9263a75059ac59a096d671f73ac6e2ab/"
"Development of a Smartphone Application “Family Care Stunting” to Increase the Independence of Families with Stunting Toddlers and Comorbid Diseases","The ""Family Care Stunting"" smartphone application significantly increased family health independence in managing stunted toddlers with comorbidities, contributing to comprehensive stunting prevention efforts.","Anita Dyah Listyarini, O. Handayani, Ari Yuniastuti, Eko Farida",2025,0,"Stunting is a complex public health problem in Indonesia. The incidence of stunting in Kudus City was 3,601 toddlers (5.85%), with the highest prevalence in Dawe District (13.32%), Undaan District (11.13%), Gebog District (10.66%), and 238 children under five, accompanied by comorbidities such as acute respiratory tract infections (ARI), diarrhea, tuberculosis (TB), and worms. One of the determining factors for success in combating stunting is family independence in managing the health of toddlers. However, family independence is constrained by limited access to information, lack of balanced nutrition education, sanitation, personal hygiene, symptoms of comorbidities, monitoring and development of toddlers not routinely, non-compliance with immunization and treatment. Smartphone applications can be used to overcome these obstacles. This study aims to develop and evaluate the effectiveness of the “Family Care Stunting” smartphone application in improving the health independence of families of stunted toddlers with comorbidities. This study used a research and development design, with 201 respondents from families of stunted toddlers who had comorbidities. Effectiveness was analyzed using the Wilcoxon nonparametric differential test to compare the level of family health independence before and after the intervention. There was a significant increase in the level of family health independence after the intervention of the “Family Care Stunting” smartphone application (p-value = 0.000). This application has the potential to be an innovative tool that supports families to play an active role in child health management, thereby contributing to more comprehensive stunting prevention and handling efforts.","field study","Jurnal Kesehatan Masyarakat","","10.15294/kemas.v21i2.30551","https://consensus.app/papers/development-of-a-smartphone-application-%E2%80%9Cfamily-care-listyarini-handayani/4566ffe445615efe9efe5dc95e5ced02/"
"Development of an Android-Based Application to Prevent Baby-Born Stunted","ACALS is a high-quality smartphone application that effectively monitors and supports antenatal care for pregnant women, preventing the birth of stunted babies.","Emy Rianti, M. Mumpuni, Karningsih Sudiro, Mugiati Mugiati, Agus Triwinarto",2024,0,"INTRODUCTION: Stunting is still a problem for infants under five years old in Indonesia. One solution to improve the health status of pregnant women to prevent the child born stunting in the digital era is to design an application called ACALS, the “Aplikasi Cegah Anak Lahir Stunting” (ACALS)/ Application for preventing the birth of children with stunting. The application was created as an innovation and strategy for preventing and handling stunting. This study aims to evaluate the design and structure of ACALS as an application used to support the optimization of antenatal care for pregnant women. 
 
METHODOLOGY: The research design is Research and Development to evaluate the quality of innovative products in applications with user authority for pregnant women. This research was conducted in 2019 at the Jonggol Community Health Center, Bogor Regency, West Java, Indonesia. Through this research, a smartphone-based application called the ACALS/ Application was designed to prevent the birth of children with stunting, which was developed based on the Ministry of Health's MCH Handbook. 
 
RESULT: The application is considered high quality based on its evaluation of all dimensions, which include completeness, correctness, security, timeliness, benefits, efficiency, reliability, and usability. Therefore, the design and structure of ACALS have been significantly developed. 
 
CONCLUSION: It was concluded that ACALS is very beneficial for pregnant women during pregnancy as a means of monitoring and supporting the optimization of antenatal care to prevent the birth of stunted babies.","other","Global Journal of Health Science","","10.5539/gjhs.v16n8p1","https://consensus.app/papers/development-of-an-androidbased-application-to-prevent-rianti-mumpuni/4675a0f567f751c0ba49f7a21d7b81ce/"
